"Cardroom","Username","Nickname","Country","Signup date + time","Frozen","Signup IP","Signup serial","Date first rake/fee","Player Code","Lifetime Rake","Lifetime Fee"
"netbetuk","NETBF72FA8469B74","NETBF72FA8469B74","United Kingdom","2026-03-18 03:13:40","Not frozen",NULL,NULL,NULL,"39745227",NULL,NULL
"netbetuk","NETB4F4BDDDAE1BF","NETB4F4BDDDAE1BF","United Kingdom","2026-03-17 12:14:10","Not frozen",NULL,NULL,NULL,"39741281",NULL,NULL
"betsafe.com","1274742379","mousedove22","Malta","2026-03-17 11:08:05","Not frozen","185.63.73.17","5236b872136550994468c0d302ee9199",NULL,"39741082",NULL,NULL
"betfredew5","PF14639793","bigwormperm78","United Kingdom","2026-03-17 10:26:23","Not frozen","148.252.149.133","908d6df86bc858907e702c8000fce08c",NULL,"39740953",NULL,NULL
"netbetro","NETBDE18EB541488","NETBDE18EB541488","Romania","2026-03-17 22:49:40","Not frozen",NULL,NULL,NULL,"39744123",NULL,NULL
"netbetgr","NETBE9E81F8B55B8","NETBE9E81F8B55B8","Greece","2026-03-17 20:51:00","Not frozen",NULL,NULL,NULL,"39743468",NULL,NULL
"sportiumbet.mx","Edgardan04","Edgardan04","Mexico","2026-03-18 00:13:10","Not frozen",NULL,NULL,NULL,"39744543",NULL,NULL
"sportiumbet.mx","Windo14","Windo14","Mexico","2026-03-18 03:15:10","Not frozen",NULL,NULL,NULL,"39745233",NULL,NULL
"netbetuk","NETBC54FA2221CB5","NETBC54FA2221CB5","United Kingdom","2026-03-18 03:25:30","Not frozen",NULL,NULL,NULL,"39745271",NULL,NULL
"sportiumbet.mx","Duverlin1623","Duverlin1623","Mexico","2026-03-18 01:42:40","Not frozen",NULL,NULL,NULL,"39744894",NULL,NULL
"redstar","Inveritate","Inveritate","Ukraine","2026-03-17 13:14:50","Not frozen","188.163.113.41","cfc194c34984871100808201ea7ab7eb",NULL,"39741452","0","0"
"paddypowerpoker.com","60004645","houseshell529","United Kingdom","2026-03-17 10:12:24","Not frozen","51.7.185.219","ab44fdc7ae1d6e040080e4abd2199fbe",NULL,"39740910",NULL,NULL
"sportiumbet.mx","MORALES127","MORALES127","Mexico","2026-03-17 14:04:10","Not frozen",NULL,NULL,NULL,"39741631",NULL,NULL
"netbetro","NETB29B61E578063","NETB29B61E578063","Romania","2026-03-17 14:44:00","Not frozen",NULL,NULL,NULL,"39741817",NULL,NULL
"sportiumbet.mx","Pamela28","Pamela28","Mexico","2026-03-17 13:51:20","Not frozen",NULL,NULL,NULL,"39741573",NULL,NULL
"netbetuk","NETBCF356E6FEC91","NETBCF356E6FEC91","United Kingdom","2026-03-17 13:12:40","Not frozen",NULL,NULL,NULL,"39741440",NULL,NULL
"redstar","grayr1981g","grayr1981g","Unknown","2026-03-18 00:51:30","Not frozen",NULL,NULL,NULL,"39744708",NULL,NULL
"coolbet","Qgjj4QtG","raveniron9","Chile","2026-03-17 21:50:49","Not frozen","148.227.67.76","4b23fa76fa9f941764c3024dd3327163",NULL,"39743779",NULL,NULL
"bet365poker","32352B9BCAF642478F27F66CB547A808","whalesong736","United Kingdom","2026-03-17 16:45:14","Not frozen","81.97.200.68","a2af22c0705da7e477e95b0edbe560bc",NULL,"39742293",NULL,NULL
"betfredew5","PF14743530","deadpoolwxm87","United Kingdom","2026-03-17 15:12:36","Not frozen","82.30.239.11","667bfec524d1d22917c7270a49925536","2026-03-17 00:00:00","39741924","0.291709","0"
"sportiumbet.mx","Huitzi9","Huitzi9","Mexico","2026-03-17 14:32:10","Not frozen",NULL,NULL,NULL,"39741762",NULL,NULL
"sportiumbet.mx","auromdl6993@","auromdl6993","Mexico","2026-03-17 18:04:00","Not frozen",NULL,NULL,NULL,"39742652",NULL,NULL
"betsson.com","1370624273","Creativegem13","Malta","2026-03-17 12:36:30","Not frozen",NULL,NULL,NULL,"39741336",NULL,NULL
"paf.com","7709648","streetgiant621","Finland","2026-03-17 17:42:52","Not frozen","82.128.212.74","900fb89c7791c3538928f72897c999a1",NULL,"39742550",NULL,NULL
"sportiumbet.mx","Theking060691.","Theking060691","Mexico","2026-03-17 22:09:10","Not frozen",NULL,NULL,NULL,"39743874",NULL,NULL
"efortuna","bagaretu","bagaretu1","Romania","2026-03-17 18:40:32","Not frozen","178.138.97.63","9e33d0c3d01934da188cccfd44d4cb7e",NULL,"39742851",NULL,NULL
"netbetro","NETB8DD79F017EA2","NETB8DD79F017EA2","Romania","2026-03-17 21:35:40","Not frozen",NULL,NULL,NULL,"39743691",NULL,NULL
"bet365poker.nl","OCKIE_","lighthuge681","Netherlands","2026-03-17 20:34:50","Not frozen","84.27.108.88","8451ccf8c47d73f3607108c0acd6d3f6","2026-03-17 00:00:00","39743388","0.391727","0"
"bet365poker.gr","HOLLANDBEBE24","aceruby112","Greece","2026-03-17 18:41:55","Not frozen","109.242.94.144","c50e5f0cf9f0e9555dbd8738d40b47bf",NULL,"39742860",NULL,NULL
"bet365poker","HOLLTHOM961","straightmad833","United Kingdom","2026-03-17 12:52:12","Not frozen","78.86.129.115","61f2b463a3cb83826ede108d37617014",NULL,"39741377",NULL,NULL
"poker770mt","NETB3D933D5A0ECE","NETB3D933D5A0ECE","Ireland","2026-03-17 16:10:00","Not frozen",NULL,NULL,NULL,"39742137",NULL,NULL
"sportiumbet.mx","Mpalco023","Mpalco023","Mexico","2026-03-18 01:29:20","Not frozen",NULL,NULL,NULL,"39744849",NULL,NULL
"sportiumbet.mx","Oscaromarb12","Oscaromarb12","Mexico","2026-03-18 00:55:40","Not frozen",NULL,NULL,NULL,"39744724",NULL,NULL
"betfredew5","PF2748076","PF2748076","United Kingdom","2026-03-17 22:30:41","Not frozen",NULL,"cb1c91cfab15f951295e30654d58336c",NULL,"39744010",NULL,NULL
"sportiumbet.mx","ElCarlos_08","ElCarlos08","Mexico","2026-03-17 21:58:30","Not frozen",NULL,NULL,NULL,"39743814",NULL,NULL
"netbetgr","NETB82B223342A46","NETB82B223342A46","Greece","2026-03-17 18:43:40","Not frozen",NULL,NULL,NULL,"39742870",NULL,NULL
"bet365poker","ROBBIEVEZ","jupiterlazy494","United Kingdom","2026-03-17 17:44:23","Not frozen","31.94.11.112","131b081cf11e90898302f15613bf34bb",NULL,"39742559",NULL,NULL
"bet365poker.se","76F2A2AACF304CB5B00AE8AA02A93FBE","Diligentember44","Sweden","2026-03-17 11:38:55","Not frozen","2.248.13.43","b0755b162eb5fe7c0f32e95719e8811f",NULL,"39741188",NULL,NULL
"sportiumbet.mx","a929422569","a929422569","Mexico","2026-03-17 21:01:40","Not frozen",NULL,NULL,NULL,"39743522",NULL,NULL
"paf.com","31498127","angelmad256","Finland","2026-03-17 22:30:05","Not frozen","85.76.101.135","3bbd32637496c714d73fe56938de3e06",NULL,"39744005",NULL,NULL
"svenskaspel","114319409","citizenstorm47","Sweden","2026-03-17 19:11:59","Not frozen","90.129.218.164","b6d986ed2508bab8da31b59d81cfe6ff",NULL,"39743007",NULL,NULL
"netbetro","NETBB598B213DC8E","NETBB598B213DC8E","Romania","2026-03-17 20:03:10","Not frozen",NULL,NULL,NULL,"39743275",NULL,NULL
"netbetro","NETBF46366E13961","NETBF46366E13961","Romania","2026-03-18 00:57:30","Not frozen",NULL,NULL,NULL,"39744729",NULL,NULL
"poker770mt","NETBACFDDCA09BC2","NETBACFDDCA09BC2","Finland","2026-03-17 18:41:50","Not frozen",NULL,NULL,NULL,"39742856",NULL,NULL
"efortuna","Georg10","Georg101","Romania","2026-03-17 14:16:24","Not frozen","78.96.241.232","e7ea4471-7d6c-494c-abe2-b5cca6d769fd","2026-03-17 00:00:00","39741695","0","0.04000000012770038"
"netbetro","TESTA1E1D5A0A952","TESTA1E1D5A0A952","Romania","2026-03-17 13:18:20","Not frozen",NULL,NULL,NULL,"39741461",NULL,NULL
"sportiumbet.mx","Alfredor1.","Alfredor1","Mexico","2026-03-17 22:23:40","Not frozen",NULL,NULL,NULL,"39743968",NULL,NULL
"netbetro","TESTA6C0CD6B7126","TESTA6C0CD6B7126","Romania","2026-03-17 13:12:00","Not frozen",NULL,NULL,NULL,"39741437",NULL,NULL
"atlanticcity.pe","2.552300","valmar2015","Peru","2026-03-18 03:15:38","Not frozen","132.157.130.118","dc5ee343996007fc5fc9753ca5bd24a8",NULL,"39745237",NULL,NULL
