"Username","Nickname","Player code","Casino","Hands","VPIP","PFR","3-bet","4-bet","Limp","WTSD","Flop Cbet","Turn Cbet","River Cbet","Post flop AGG","Attempt to Steal","Fold vs Flop Cbet","Call vs Flop Cbet","Raise vs Flop Cbet","Delayed CBet","Donk Bet Turn","WSD","Overbet River"
"PF12484795","Mikeyl893","39500738","betfredew5","52","82.69","0","0","0","85.71","27.91","0","0","0","18.57","0","44.44","55.56","0","0","10","58.33","0"
"marianbe7","marianbe7","33920498","bifortuna.cz","72","82.86","34.29","5","0","36.59","41.67","42.86","100","100","38.55","52.38","16.67","66.67","16.67","33.33","0","52","0"
"mWnQ69wIyb","Newcastleunt","35313885","klondaika.lv","61","42.62","24.59","14.81","0","13.79","41.38","50","50","100","43.48","44.44","25","50","25","66.67","0","50","0"
"Adam1r","Adam1r","35652928","bifortuna.cz","166","29.88","18.29","3.92","0","5.05","29.55","23.08","50","0","37.5","39.02","42.86","42.86","14.29","50","0","61.54","0"
"505264084","flossy1320sky","36862333","skypoker.com","37","72.97","5.41","0","0","81.82","26.67","100","0","0","59.57","0","66.67","33.33","0","0","0","75","0"
"6706345","captaindark364","30991397","grosvenor.poker","9","77.78","55.56","66.67","0","20","80","0","0","0","42.86","60","0","0","0","0","0","25","0"
"QnExQS0dVQ","omatokito","39564064","klondaika.lv","37","44.12","5.88","8.33","0","47.37","64.29","0","0","0","52.17","11.11","20","40","40","0","33.33","55.56","0"
"abe040","quadssweet758","39715464","swisscasino.ch","15","84.62","0","0","0","83.33","45.45","0","0","0","57.89","0","50","25","25","0","0","40","0"
"116560427","supeHamstern","39726214","svenskaspel","37","66.67","8.33","0","100","66.67","30","100","100","0","67.74","6.25","50","50","0","0","0","33.33","33.33"
"685364","Lurtzakis","36497783","novibet.gr","31","48.39","32.26","6.67","25","0","35.71","100","100","0","36.84","100","50","50","0","0","0","100","0"
"GILLY15790","sheriffstable16","29108447","bet365poker","765","40.44","24.76","14.05","8.7","5.91","30.22","31.48","25","0","47.79","36.71","35.48","53.23","11.29","76","0","58.18","25.93"
"115583809","bughuge343","39676947","svenskaspel","42","65","10","5.26","0","57.14","25","0","0","0","50","7.14","60","40","0","100","50","16.67","0"
