"Player Code","Nickname","Username","Language","Big blind","Number of seats at table","Game type","Bet type","Game code name","Session start date & time","Session end date & time","Session duration (in mins)","Table ID","Table name","Poker Game Session Code","Session serial","Session ip","Gamelist code/ID","Hands played","Hands Won","Total bets","Total wins","Total profit/loss","Rake generated","# of raked hands","Award iPoints","Status iPoints","Turn time","Chips min","Chips max","Original currency","Anonymous Table","Client platform","Currency"
"33809866","YaVamNeVerju","Beregovaja","English","0.02","6","Holdem","No limit","PS_POK_HE_CASH_RA","2026-03-14 10:01:32","2026-03-14 10:48:44","47.2","817746916","Alcantud","8592201313","3mounk12095","176.52.76.190","169541","80","9","5.63","5.95","0.32","0.06","10","0.65","0.65","15","0.8","2","EUR","No","Platform QT - windows desktop","EUR"
"36668474","WhiteChocolate24","ED2D840B344A4CC5BCB33D32D02A76C8","English","0.2","5","Holdem","No limit","PS_POK_HE_CASH_RA","2026-03-14 13:14:28","2026-03-14 13:30:45","16.28","1011612490","Premium Table 17d","8592274975","d3f4c14a12f2e016d9a5eb4b1c2667fe","173.176.30.100","184631","28","5","15.32","8.95","-6.37","0.77","10","0","7.72","20","6","20","EUR","No","Platform WEB - mobile","EUR"
"28760009","Umklaidet","LordCorwin","Russian","0.5","6","Holdem","No limit","PS_POK_HE_CASH_RA","2026-03-14 18:07:08","2026-03-14 18:07:10","0.03","893508436","Glucksburg","8592457047","8unrik10084","178.155.21.18","169251","0","0","0","0","0","0","0","0","0","20","20","50","EUR","No","Platform QT - windows desktop","EUR"
"28766856","Ufferoger","kMBZbuNH","English","0.5","6","Holdem","No limit","PS_POK_HE_CASH_RA","2026-03-14 21:44:44","2026-03-14 22:29:27","44.72","893508278","Druzbice","8592662665","25c0deb1add8815fad563fb037207ef4","85.164.129.123","169251","69","16","69.24","74.92","5.68","2.16","19","21.65","21.65","20","20","50","EUR","No","Platform WEB - mobile","EUR"
"36100661","pffFgdpts","pffFgdpts","English","4","6","Holdem","No limit","PS_POK_HE_CASH_RA","2026-03-14 22:19:33","2026-03-14 22:21:56","2.38","894336630","Eggstatt","8592691705","imgp3k16756","37.46.113.171","169371","2","1","98","50","-48","0.5","1","15","5","20","160","400","EUR","No","Platform QT - windows desktop","EUR"
"29989362","ypajaa","HyuqvQMw","Finnish","1","6","Omaha Hi-Lo","Pot limit","PS_POK_OHHL_CASH","2026-03-14 13:49:51","2026-03-14 13:49:53","0.03","817803510","Belvi","8592292348","3155AC2B-E7C2-4B51-B9AC-63B0D03E9C39","86.60.163.249","168051","0","0","0","0","0","0","0","0","0","25","40","100","EUR","No","Platform Mobile Native - iOS Smartphone (iPhone)","EUR"
"36685747","m4nuginobili","snv69","English","0.5","6","Omaha","Pot limit","PS_POK_OH_CASH","2026-03-14 10:22:57","2026-03-14 10:27:23","4.43","817758187","Arbore","8592208620","grdoak16994","95.176.220.19","167401","9","2","28","52.53","24.53","1.28","2","38.44","12.81","20","20","50","EUR","No","Platform QT - windows desktop","EUR"
"39483070","luckybagle","GUO068GN07H0OU","English","0.5","5","Holdem","No limit","PS_POK_HE_CASH_RA","2026-03-14 18:32:27","2026-03-14 19:48:34","76.12","1011683964","Premium Table 18o","8592478816","phr1ok11343","149.62.205.245","184611","123","14","164.81","129.03","-35.78","5.64","44","0","56.41","20","15","50","EUR","No","Platform QT - windows desktop","EUR"
"38314229","pirifino","512082298","English","0.04","6","Holdem","No limit","PS_POK_HE_CASH_RA","2026-03-14 08:04:45","2026-03-14 08:04:54","0.15","817769135","Fontanka","8592169189","9A799972-8D34-445A-A9CB-88C50CD5E540","85.255.237.204","169131","0","0","0","0","0","0","0","0","0","15","1.6","4","EUR","No","Platform Mobile Native - iOS Smartphone (iPhone)","EUR"
"32363122","MatosCannon","MatosCannon","English","4","6","Holdem","No limit","PS_POK_HE_CASH_RA","2026-03-14 00:03:25","2026-03-14 00:03:32","0.12","895732324","Estevelles","8592021172","i1ki1j19136","186.205.9.34","169371","0","0","0","0","0","0","0","0","0","20","160","400","EUR","No","Platform QT - windows desktop","EUR"
"30708664","0Tokio0","0Tokio0","English","0.2","6","Holdem","No limit","PS_POK_HE_CASH_RA","2026-03-14 08:01:41","2026-03-14 08:22:43","21.03","1087125642","Flen","8592167067","jks0nk19947","178.141.227.21","169211","29","10","10.78","15.82","5.04","0.22","11","2.18","2.18","20","8","20","EUR","No","Platform QT - windows desktop","EUR"
"39442699","Rationalunique5","GHPE9X8Z5E9LHY","Bulgarian","0.2","5","Holdem","No limit","PS_POK_HE_CASH_RA","2026-03-14 15:39:13","2026-03-14 15:39:15","0.03","1011610038","Premium Table 17b","8592348165","37C2B2F2-F7DD-4223-82FD-337828368D91","149.62.206.238","184631","0","0","0","0","0","0","0","0","0","20","6","20","EUR","No","Platform Mobile Native - iOS Smartphone (iPhone)","EUR"
"32792846","peterstone8","peterstone8","English","4","6","Holdem","No limit","PS_POK_HE_CASH_RA","2026-03-14 17:30:55","2026-03-14 17:30:56","0.02","894336630","Eggstatt","8592420132","fc4n7k16655","177.54.156.215","169371","0","0","0","0","0","0","0","0","0","20","160","400","EUR","No","Platform QT - windows desktop","EUR"
"39289950","RESPECTBUL831","G4CSXLOKVHTTPZ","Bulgarian","0.1","5","Holdem","No limit","PS_POK_HE_CASH_RA","2026-03-14 20:59:31","2026-03-14 21:05:18","5.78","1119727828","Premium Table 16 II","8592613217","1184f7ca-ce1d-42d8-9512-c4cebf16404e","149.62.208.21","174831","11","2","3.79","6.49","2.7","0.27","1","0","2.66","20","3","10","EUR","No","Platform Mobile Native - Android Smartphone","EUR"
"33292906","TheMoneyDoc","88R9458237","Dutch","0.1","6","Omaha","Pot limit","PS_POK_OH_CASH","2026-03-14 19:16:42","2026-03-14 19:49:30","32.8","817033426","Almersbach","8592516817","BE8FF419-FE71-4A98-A233-542605F35A0C","86.82.93.222","167331","39","6","30.24","17.88","-12.36","1.68","21","0","117.61","20","4","10","EUR","No","Platform Mobile Native - iOS Smartphone (iPhone)","EUR"
"39725120","flushcold319","1370821557","Estonian","0.1","6","Holdem","No limit","PS_POK_HE_CASH_RA","2026-03-14 16:30:37","2026-03-14 17:09:32","38.92","893509863","Wehingen","8592379843","61362a0f03a54640d59642a2f104b503","37.157.117.220","169171","49","10","20.96","6.59","-14.37","1.15","37","23","11.49","20","4","10","EUR","No","Platform WEB - mobile","EUR"
"30798323","duremar77","coldglock17","English","0.5","6","Holdem","No limit","PS_POK_HE_CASH_RA","2026-03-14 20:55:27","2026-03-14 21:07:18","11.85","893508561","Larraona","8592609203","bk33pk11405","148.222.186.47","169251","22","4","21.98","25.75","3.77","0.66","3","6.58","6.58","20","20","50","EUR","No","Platform QT - windows desktop","EUR"
