report_table,table_headers,first_line_data
player_identity_map,"identity_id, canonical_username, canonical_nickname, poker_player_code, raw_username_variants, raw_nickname_variants, raw_playername_variants, last_seen_cardroom, last_seen_country, updated_at","{""identity_id"":18314,""canonical_username"":""wg96qg9z"",""canonical_nickname"":""vesl"",""poker_player_code"":null,""raw_username_variants"":""[\""wg96Qg9Z\""]"",""raw_nickname_variants"":""[\""VesL\""]"",""raw_playername_variants"":""[]"",""last_seen_cardroom"":null,""last_seen_country"":null,""updated_at"":""2026-03-06T11:09:14.948973""}"
player_identity_aliases,"variant_normalized, identity_id, display_value, source","{""variant_normalized"":""m98776t6"",""identity_id"":1,""display_value"":""m98776t6"",""source"":""nickname""}"
player_absolute,"identity_id, canonical_display_name, poker_player_code, username, nickname, country, advertiser, cardroom, signup_date, hands_played, mtt_played, twister_played, profit, win_ratio, rake_total, stake_profile, detection_hits, tournament_fees, cash_payout_pct, frozen, total_income, games_played, raked_games, poker_room, sign_up_date, total_rake, profit_loss, updated_at","{""identity_id"":1,""canonical_display_name"":null,""poker_player_code"":null,""username"":null,""nickname"":null,""country"":null,""advertiser"":null,""cardroom"":null,""signup_date"":null,""hands_played"":null,""mtt_played"":""0"",""twister_played"":null,""profit"":null,""win_ratio"":null,""rake_total"":null,""stake_profile"":null,""detection_hits"":""0"",""tournament_fees"":null,""cash_payout_pct"":null,""frozen"":null,""total_income"":null,""games_played"":null,""raked_games"":null,""poker_room"":null,""sign_up_date"":null,""total_rake"":null,""profit_loss"":null,""updated_at"":""2026-03-06T14:50:14.018659""}"
daily_player_stats,"Date, Username, Nickname, Cash game bets, Cash game wins, Cash game net win, Cash game rake, Tournament buy-in, Tournament fees, Tournament win, Points cashout, Bonus redeemed, Revenue, Player Win/Loss","{""Date"":""2026-03-04T00:00:00"",""Username"":""1100874757895098368"",""Nickname"":""1100874757895098"",""Cash game bets"":5.58,""Cash game wins"":6.13,""Cash game net win"":0.55,""Cash game rake"":0.104464,""Tournament buy-in"":0,""Tournament fees"":0,""Tournament win"":0,""Points cashout"":null,""Bonus redeemed"":null,""Revenue"":0.104464,""Player Win/Loss"":0.55}"
mtt_info_per_player_statistical,"Username, Nickname, Cardroom, Country, Sign-up date, Frozen, Tournament name, Tournament ID, Start date, End date, Game type (Bet type), CertifiedGameName, Registration method, Jackpot name, Buy-in, Fee, Jackpot fee, # of players, Position, Prize money, Jackpot wins, Prize money token value, iPoints earned, Status points earned, Number of rebuys, Amount of addons, Interrupted fees, Game ip, Game serial, iPoints buy-in amount, Satellite, Client Platform, Original currency, Currency, Status points accumulated in tournaments, Award points accumulated in tournaments, Award points used as Buy-in, Award points used as Rebuys, Award points used as Addons, Award points won in tournaments","{""Username"":""rinrus"",""Nickname"":""rin1rus"",""Cardroom"":""redstar"",""Country"":""Russia"",""Sign-up date"":""2020-05-13T18:44:20"",""Frozen"":""No"",""Tournament name"":""€10,000 GTD FRIDAY SPECIAL"",""Tournament ID"":1155354962,""Start date"":""2026-03-06T17:30:01"",""End date"":""2026-03-07T02:07:33"",""Game type (Bet type)"":""Holdem(No limit)"",""CertifiedGameName"":""Texas Hold'em"",""Registration method"":""cash"",""Jackpot name"":null,""Buy-in"":25,""Fee"":2.25,""Jackpot fee"":null,""# of players"":466,""Position"":216,""Prize money"":0,""Jackpot wins"":0,""Prize money token value"":0,""iPoints earned"":22.5,""Status points earned"":22.5,""Number of rebuys"":0,""Amount of addons"":0,""Interrupted fees"":0,""Game ip"":""95.24.131.115"",""Game serial"":""jngpdi17596"",""iPoints buy-in amount"":null,""Satellite"":""No"",""Client Platform"":""Platform QT - windows desktop"",""Original currency"":""EUR"",""Currency"":""EUR"",""Status points accumulated in tournaments"":null,""Award points accumulated in tournaments"":null,""Award points used as Buy-in"":null,""Award points used as Rebuys"":null,""Award points used as Addons"":null,""Award points won in tournaments"":null}"
Casino_income_per_period,"Statistics period, Cardroom, Promotion source, Unique cash tables players, Rake, Unique players in tournaments, Tournaments buy-in, Sit 'N' Go tournament fees, Scheduled tournament fees, Unique players all together, Rake + fee, New real accounts who had game activity, New real accounts, SB Rake, RPV Rake, SB Fee, RPV Fee, New Player Value, Currency","{""Statistics period"":""2026-03-07"",""Cardroom"":""bet365poker"",""Promotion source"":null,""Unique cash tables players"":0,""Rake"":0,""Unique players in tournaments"":0,""Tournaments buy-in"":0,""Sit 'N' Go tournament fees"":0,""Scheduled tournament fees"":0,""Unique players all together"":0,""Rake + fee"":0,""New real accounts who had game activity"":0,""New real accounts"":326,""SB Rake"":23406.9734118,""RPV Rake"":9362.78936472,""SB Fee"":11193.10819715,""RPV Fee"":4477.24327886,""New Player Value"":13840.03264358,""Currency"":""EUR""}"
IP_address_or_serial_code_search,"Nickname, Username, Card room, Country, Real sign up date, Total rake / tournament fees, Account status, Sign up serial, Last login serial, Signup IP, Last login IP, Advertiser, Profile, iPoker collusion","{""Nickname"":""hury15"",""Username"":""hury15"",""Card room"":""bifortuna.cz"",""Country"":""Czech Republic"",""Real sign up date"":""2024-03-29 08:20:19"",""Total rake / tournament fees"":""250.875556270842292536282349321405807275/231.869998601942861016597327877176854569"",""Account status"":""Not frozen"",""Sign up serial"":""1AFA39E7-163A-46FA-9F68-8E2B5D8D7960"",""Last login serial"":""1AFA39E7-163A-46FA-9F68-8E2B5D8D7960"",""Signup IP"":""86.49.231.33"",""Last login IP"":null,""Advertiser"":""no_affiliate_cz"",""Profile"":null,""iPoker collusion"":null}"
Client_tracking_events,"Player code, Username, Cardrooom, Date, Logout date, Platform, Event name, Event type, Tracking data","{""Player code"":27892017,""Username"":""SIMEK_"",""Cardrooom"":""bet365poker"",""Date"":""2026-03-07 00:50:20"",""Logout date"":""2026-03-07 03:56:18"",""Platform"":""Platform QT - windows desktop"",""Event name"":""Forbidden software scan on client start(after receiving the client service)"",""Event type"":""FORBIDDEN_SOFTWARE"",""Tracking data"":""hand2note""}"
Total_games_by_player_Cash,"player code, Nickname, Country, Cardroom, Games","{""player code"":36915586,""Nickname"":""NotReallyThatGuy"",""Country"":""United Kingdom"",""Cardroom"":""skypoker.com"",""Games"":24196}"
Total_games_by_player_MTT,"player code, Nickname, Country, Cardroom, Games","{""player code"":31006211,""Nickname"":""Javsta44"",""Country"":""United Kingdom"",""Cardroom"":""grosvenor.poker"",""Games"":74}"
Total_games_by_player_SNG,"player code, Nickname, Country, Cardroom, Games","{""player code"":31006211,""Nickname"":""Javsta44"",""Country"":""United Kingdom"",""Cardroom"":""grosvenor.poker"",""Games"":74}"
Login_activity_by_player,"Casino, Nickname, Login Date Time, Logout Date Time, Device Name, Serial, IP, Operating system","{""Casino"":""bet365poker"",""Nickname"":""IICU"",""Login Date Time"":""2026-03-04T20:41:06"",""Logout Date Time"":""2026-03-05T01:32:27"",""Device Name"":""Andy-PC"",""Serial"":""sugbji18425"",""IP"":""82.44.2.75"",""Operating system"":""Windows 10 Professional (build 19041), 64-bit""}"
earnings_from_other_players,"Nickname, Username, Paid rake, Paid tournament fees, Paid tournament jackpot fees, Paid total rake, Paid total tournament fees, Earnings from others/loss to others, Original currency, Currency","{""Nickname"":""cluud"",""Username"":""1524813360"",""Paid rake"":0,""Paid tournament fees"":0,""Paid tournament jackpot fees"":0,""Paid total rake"":0,""Paid total tournament fees"":0,""Earnings from others/loss to others"":0,""Original currency"":""EUR"",""Currency"":""EUR""}"
Total_games_by_player_Twister,"player code, Nickname, Country, Cardroom, Games","{""player code"":28790988,""Nickname"":""Ucntstpme"",""Country"":""Russia"",""Cardroom"":""redstar"",""Games"":1273}"
All_in_cash_out_hands,"Licensee, Player code, Username, Nickname, Game code, Hand date, Cash out to fund, Cash out from fund, Balance, Cash out odd, Currency","{""Licensee"":""bet365poker"",""Player code"":7539554,""Username"":""CANCUN8"",""Nickname"":""cancun8"",""Game code"":12094848577,""Hand date"":""2026-03-07 18:30:32"",""Cash out to fund"":6.3,""Cash out from fund"":3.63,""Balance"":2.67,""Cash out odd"":57.6,""Currency"":""EUR""}"
RTA_Tournament_Export_MTT,id;board;board_dealt_at;hand_finished_at,"{""id;board;board_dealt_at;hand_finished_at"":""12098011284;3s4h3d;2026-03-08T23:59:21+00:00;2026-03-08T23:59:32+00:00""}"
Major_income_sessionsV2,"Player code, Username, Nickname, Country, Real sign up date, Frozen, iPoker collusion, Player lifetime rake, Session code, Start date, End date, Duration (seconds), Big blind, Buy, Win, % Win, Rake, Bets, Wins, # of hands, # of won hands, % of won hands, Currency","{""Player code"":36401481,""Username"":""B1R9773521"",""Nickname"":""adahan777"",""Country"":""Netherlands"",""Real sign up date"":""2025-02-01T15:14:43"",""Frozen"":""No"",""iPoker collusion"":""No"",""Player lifetime rake"":1496.44,""Session code"":8584940650,""Start date"":""2026-03-04T22:05:58"",""End date"":""2026-03-04T23:21:14"",""Duration (seconds)"":4516,""Big blind"":0.04,""Buy"":1.6,""Win"":11.09,""% Win"":693.13,""Rake"":2.14,""Bets"":54.5,""Wins"":63.99,""# of hands"":106,""# of won hands"":29,""% of won hands"":27.36,""Currency"":""EUR""}"
poker_activity_hourly,"Hour, Casino, Advertiser, Username, Nickname, Poker VIP level, Country, Signup date, Award points accumulated, Status points accumulated, Rake, Games(#), Games rakes(#), Bets, Wins, Tournaments(#), Tournament buy-in, Tournament wins, SNG Fee, MTT Fee, Currency","{""Hour"":""2026-03-02T01:00:00"",""Casino"":""betfairpoker"",""Advertiser"":""default44"",""Username"":""59973258"",""Nickname"":""Mambamentality01"",""Poker VIP level"":1,""Country"":""United Kingdom"",""Signup date"":""2020-07-16T04:29:10"",""Award points accumulated"":0,""Status points accumulated"":219.41,""Rake"":8.78,""Games(#)"":40,""Games rakes(#)"":15,""Bets"":327.58,""Wins"":389.1,""Tournaments(#)"":0,""Tournament buy-in"":0,""Tournament wins"":0,""SNG Fee"":0,""MTT Fee"":0,""Currency"":""EUR""}"
RTA_Tournament_Export_Cash,id;board;board_dealt_at;hand_finished_at,"{""id;board;board_dealt_at;hand_finished_at"":""12095800712;3s2skc;2026-03-08T00:38:36+00:00;2026-03-08T00:38:45+00:00""}"
Overlay_Report,"Casino, Player code, Username, Country, Start date, End date, Code, Name, Promotion source, Promotion source description, Stake, Type, Fees, Bets, Wins, Prize Pool Bets, Prize Pool Wins, KO Bets, KO Wins, Total players, Total registrations, Prize Pool, KO Prize Pool, Overlay money, Tournament total Overlay, Currency","{""Casino"":""redstar"",""Player code"":28748498,""Username"":""nepuhskin"",""Country"":""Kazakhstan"",""Start date"":""2026-03-07 18:00:01"",""End date"":""2026-03-07 20:26:46"",""Code"":1144710822,""Name"":""Telegram Special Freeroll"",""Promotion source"":""card room"",""Promotion source description"":null,""Stake"":0,""Type"":""Freezeout"",""Fees"":0,""Bets"":0,""Wins"":0,""Prize Pool Bets"":0,""Prize Pool Wins"":0,""KO Bets"":0,""KO Wins"":0,""Total players"":207,""Total registrations"":207,""Prize Pool"":25,""KO Prize Pool"":0,""Overlay money"":0,""Tournament total Overlay"":25,""Currency"":""EUR""}"
Bets_by_player,"Username, Nickname, Cash games bets, Cash game wins, Rake, Buy-in tournaments, Tournaments rebuy, Tournaments addon, Tournaments wins, Phisical prize wins, Tournaments fees, Currency","{""Username"":""snopake"",""Nickname"":""snopake1"",""Cash games bets"":182.19,""Cash game wins"":182.86,""Rake"":6.115852,""Buy-in tournaments"":0,""Tournaments rebuy"":0,""Tournaments addon"":0,""Tournaments wins"":0,""Phisical prize wins"":0,""Tournaments fees"":0,""Currency"":""EUR""}"
New_contributing_players_by_days_played,"Casino, Nickname, Username, Signup date, Number of days played in contribution period","{""Casino"":""redstar"",""Nickname"":""0rIy"",""Username"":""RoryBreacker"",""Signup date"":""21-JUL-22"",""Number of days played in contribution period"":2}"
Poker_activity,"Username, Nickname, Poker VIP level, Highest Poker VIP level, Country, Signup date, Award points accumulated, Status points accumulated, Rake, Games(#), Games rakes(#), Bets, Wins, Tournaments(#), Tournament buy-in, Tournament wins, Fee, Player win/loss, Currency","{""Username"":""Pixv6YMz"",""Nickname"":""Cshrimp"",""Poker VIP level"":11,""Highest Poker VIP level"":11,""Country"":""Estonia"",""Signup date"":""2022-05-14 19:28:12"",""Award points accumulated"":5766.57,""Status points accumulated"":5766.57,""Rake"":576.62,""Games(#)"":7111,""Games rakes(#)"":2614,""Bets"":21610.52,""Wins"":22589.3,""Tournaments(#)"":1,""Tournament buy-in"":22.75,""Tournament wins"":0,""Fee"":2.25,""Player win/loss"":953.78,""Currency"":""EUR""}"
SNG_summary_activity___collusion,"Username, Nickname, Advertiser, Card room, Signup date, Poker VIP level, Country, Language, # of SNG tournaments, Total buy-in (not including fee), Total tournament winnings, Number of wins, % of wins, Total fee, Status points accumulated in tournaments, Award points accumulated in tournaments, Award points used as Buy-in, Award points used as Rebuys, Award points used as Addons, Award points won in tournaments, Currency, Frozen, Colluder, Payout, Game serial","{""Username"":""A1_SWP"",""Nickname"":""hoochy21"",""Advertiser"":""who_migrated"",""Card room"":""whpoker"",""Signup date"":""2007-09-28 00:00:00"",""Poker VIP level"":4,""Country"":""United Kingdom"",""Language"":""English"",""# of SNG tournaments"":22,""Total buy-in (not including fee)"":31.04934541467124,""Total tournament winnings"":30.16510587327952,""Number of wins"":7,""% of wins"":""31.82 %"",""Total fee"":2.308977847289993,""Status points accumulated in tournaments"":17.1,""Award points accumulated in tournaments"":20.52,""Award points used as Buy-in"":0,""Award points used as Rebuys"":0,""Award points used as Addons"":0,""Award points won in tournaments"":0,""Currency"":""EUR"",""Frozen"":""Not frozen"",""Colluder"":null,""Payout"":90.43,""Game serial"":""32b64870-500a-4d6a-82f9-273e6e829f29""}"
Cash_game_metrics,"BRAND_ID, CARDROOM, POKER_PLAYER_ID, PLAYER_ID, STARTDATE, GAMELIST_ID, BET_TYPE_ID, CLIENT_PARAMETER_ID, RAKE, HANDS#, WINNING_HANDS#, RAKED_HANDS#, BETS, WINS, Player Code","{""BRAND_ID"":3820,""CARDROOM"":""redstar"",""POKER_PLAYER_ID"":35912341,""PLAYER_ID"":57838810,""STARTDATE"":""2026-03-06 23:59:29"",""GAMELIST_ID"":169291,""BET_TYPE_ID"":""Cash"",""CLIENT_PARAMETER_ID"":19,""RAKE"":0,""HANDS#"":0,""WINNING_HANDS#"":0,""RAKED_HANDS#"":0,""BETS"":0,""WINS"":0,""Player Code"":35912341}"
