Place,Player,Registration code,Advertiser,Profile,Cardroom,Chips,Bets + fees,Total win,Jackpot win
1,AnbuHokage,8567671844,defaultskypoker.com,-,skypoker.com,7064600,€1.00,€0.00,0
1,Spee,8567592549,default5h,-,bet365poker.gr,8360800,€1.00,€0.00,0
1,Nortz300,8567636235,defaultskypoker.com,-,skypoker.com,3033600,€1.00,€0.00,0
1,LIONGEORGE66,8567661458,defaultnovibet.gr,-,novibet.gr,4858000,€1.00,€0.00,0
1,Hasnas77,8567676463,pokerarenacz,-,bifortuna.cz,1673800,€1.00,€0.00,0
1,t0n1c1993,8567664329,no_affiliate_cz,-,bifortuna.cz,5292000,€1.00,€0.00,0
1,Chipludra,8567644329,Google,-,bifortuna.cz,2842500,€1.00,€0.00,0
1,Ladenka10,8567657833,Sklik,-,bifortuna.cz,2874700,€1.00,€0.00,0
9,123mannsky,8567673114,defaultskypoker.com,-,skypoker.com,0,€1.00,€0.00,0
10,velaquezbb,8567629074,defaultcodere.mx,-,codere.mx,0,€1.00,€0.00,0
11,pascalb,8567670685,defaulthollandcasino,-,hollandcasino,0,€1.00,€0.00,0
12,ada2cz,8567666750,no_affiliate_cz,-,bifortuna.cz,0,€1.00,€0.00,0
13,Pokerkongen69,8567677108,default8t,-,coolbet,0,€1.00,€0.00,0
14,Andy333,8567673859,defaultbetfredew5,-,betfredew5,0,€1.00,€0.00,0
15,mof98,8567671783,defaultgrosvenor.poker,-,grosvenor.poker,0,€1.00,€0.00,0
16,clubkey99,8567675155,defaultnovibet.gr,-,novibet.gr,0,€1.00,€0.00,0
17,koko1333,8567672997,defaultinbet.bg,-,inbet.bg,0,€1.00,€0.00,0
18,ravenvalley294,8567672018,default7z,-,paddypowerpoker.com,0,€1.00,€0.00,0
19,Hasnas77,8567597626,pokerarenacz,-,bifortuna.cz,0,€1.00,€0.00,0
20,KingCyrus,8567675132,defaultvx,-,redstar,0,€1.00,€0.00,0
21,akkar,8567670056,defaultarcticbet.com,-,arcticbet.com,0,€1.00,€0.00,0
22,KingCyrus,8567668280,defaultvx,-,redstar,0,€1.00,€0.00,0
23,AnbuHokage,8567669533,defaultskypoker.com,-,skypoker.com,0,€1.00,€0.00,0
24,ravenvalley294,8567668908,default7z,-,paddypowerpoker.com,0,€1.00,€0.00,0
25,Ste3ao,8567655254,Google,-,bifortuna.cz,0,€1.00,€0.00,0
26,KingCyrus,8567628433,defaultvx,-,redstar,0,€1.00,€0.00,0
27,Aquiese,8567599468,defaultskypoker.com,-,skypoker.com,0,€1.00,€0.00,0
28,ada2cz,8567637162,no_affiliate_cz,-,bifortuna.cz,0,€1.00,€0.00,0
29,Bartmangaz111,8567632957,default7z,-,paddypowerpoker.com,0,€1.00,€0.00,0
30,Faccvapb,8567650721,no_affiliate_cz,-,bifortuna.cz,0,€1.00,€0.00,0
31,Ylore,8567654588,no_affiliate_cz,-,bifortuna.cz,0,€1.00,€0.00,0
32,Ste3ao,8567648138,Google,-,bifortuna.cz,0,€1.00,€0.00,0
33,Andy333,8567627893,defaultbetfredew5,-,betfredew5,0,€1.00,€0.00,0
34,MrXpertV75,8567632129,default1o,-,svenskaspel,0,€1.00,€0.00,0
35,Pokerkongen69,8567634625,default8t,-,coolbet,0,€1.00,€0.00,0
36,ada2cz,8567606429,no_affiliate_cz,-,bifortuna.cz,0,€1.00,€0.00,0
1,akkar,8567411934,defaultarcticbet.com,-,arcticbet.com,14773400,€1.00,€0.00,0
1,Fishburger22,8567402720,defaultvx,-,redstar,16461100,€1.00,€0.00,0
1,FlopMozilla,8567422051,defaultvx,-,redstar,22633400,€1.00,€0.00,0
1,Karipihvi,8567414517,default97,-,paf.com,21962100,€1.00,€0.00,0
1,JanneJyske,8567408083,default97,-,paf.com,6249800,€1.00,€0.00,0
1,pilotbleak37,8567418323,default7z,-,paddypowerpoker.com,52791300,€1.00,€0.00,0
1,TomislavCZ,8567407990,no_affiliate_cz,-,bifortuna.cz,19828700,€1.00,€0.00,0
1,serafim25,8567413031,defaultvx,-,redstar,12140400,€1.00,€0.00,0
1,vasglad67,8567409407,Google,-,bifortuna.cz,15153200,€1.00,€0.00,0
1,gasik1,8567410194,affiliatemaster,-,bifortuna.cz,7934200,€1.00,€0.00,0
1,lukas202,8567412397,no_affiliate_cz,-,bifortuna.cz,16572000,€1.00,€0.00,0
1,Ladenka10,8567413968,Sklik,-,bifortuna.cz,23702400,€1.00,€0.00,0
1,Faccvapb,8567417540,no_affiliate_cz,-,bifortuna.cz,16941400,€1.00,€0.00,0
1,Ylore,8567421097,no_affiliate_cz,-,bifortuna.cz,5404500,€1.00,€0.00,0
1,ramboseel,8567419616,defaultgrosvenor.poker,-,grosvenor.poker,37452100,€1.00,€0.00,0
16,MegaWoo,8567366830,defaultvx,-,redstar,0,€1.00,€0.00,0
17,Spee,8567418378,default5h,-,bet365poker.gr,0,€1.00,€0.00,0
18,Robson23,8567403313,defaultvx,-,redstar,0,€1.00,€0.00,0
19,Idzanami,8567414792,defaultvx,-,redstar,0,€1.00,€0.00,0
20,Serdika,8567406219,default2k,-,bet365poker.bg,0,€1.00,€0.00,0
21,RulasTapatio,8567413461,defaultteammexico.mx,-,teammexico.mx,0,€1.00,€0.00,0
22,bauzz,8567412548,defaultfm,-,swisscasino.ch,0,€1.00,€0.00,0
23,FlopMozilla,8567411534,defaultvx,-,redstar,0,€1.00,€0.00,0
24,SouralM,8567415234,PPC_CAS_Nonbrand_Google,-,bifortuna.cz,0,€1.00,€0.00,0
25,Palandorian,8567370681,defaultvx,-,redstar,0,€1.00,€0.00,0
26,SouralM,8567408154,PPC_CAS_Nonbrand_Google,-,bifortuna.cz,0,€1.00,€0.00,0
27,FlopMozilla,8567400281,defaultvx,-,redstar,0,€1.00,€0.00,0
28,gasik1,8567405683,affiliatemaster,-,bifortuna.cz,0,€1.00,€0.00,0
29,AndyH55,8567407191,defaultskypoker.com,-,skypoker.com,0,€1.00,€0.00,0
1,TowelieRBK,8567900992,no_affiliate_cz,-,bifortuna.cz,5682900,€1.00,€0.00,0
1,Topchen1,8567783559,defaultfm,-,swisscasino.ch,7333900,€1.00,€0.00,0
1,54d1M,8567793616,defaultskypoker.com,-,skypoker.com,10345800,€1.00,€0.00,0
1,racek238,8567903252,no_affiliate_cz,-,bifortuna.cz,1616200,€1.00,€0.00,0
1,Ste3ao,8567648341,Google,-,bifortuna.cz,4021200,€1.00,€0.00,0
6,SENbKOFF,8567871415,defaultvx,-,redstar,0,€1.00,€0.00,0
7,mourgos07,8567916799,defaultnovibet.gr,-,novibet.gr,0,€1.00,€0.00,0
8,Kebabinator3000,8567817443,bet365,-,bet365poker,0,€1.00,€0.00,0
9,cloudpurple299,8567922596,default1o,-,svenskaspel,0,€1.00,€0.00,0
10,HeavenlyPerle,8567814172,defaulthollandcasino,-,hollandcasino,0,€1.00,€0.00,0
11,Amigou4,8567911145,defaultbetsafe.lt,-,betsafe.lt,0,€1.00,€0.00,0
12,Eduk4s,8567911249,defaultbetsafe.lt,-,betsafe.lt,0,€1.00,€0.00,0
13,Kylemattysky,8567883452,defaultskypoker.com,-,skypoker.com,0,€1.00,€0.00,0
14,lionproud711,8567892751,defaultnovibet.gr,-,novibet.gr,0,€1.00,€0.00,0
15,mourgos07,8567907614,defaultnovibet.gr,-,novibet.gr,0,€1.00,€0.00,0
16,bauzz,8567907927,defaultfm,-,swisscasino.ch,0,€1.00,€0.00,0
17,Eduk4s,8567909077,defaultbetsafe.lt,-,betsafe.lt,0,€1.00,€0.00,0
18,DCmaster35,8567875848,no_affiliate_cz,-,bifortuna.cz,0,€1.00,€0.00,0
19,ErPaDo,8567864232,pokerarenacz,-,bifortuna.cz,0,€1.00,€0.00,0
20,racek238,8567895487,no_affiliate_cz,-,bifortuna.cz,0,€1.00,€0.00,0
21,TowelieRBK,8567892194,no_affiliate_cz,-,bifortuna.cz,0,€1.00,€0.00,0
22,racek238,8567890824,no_affiliate_cz,-,bifortuna.cz,0,€1.00,€0.00,0
23,rexroyal323,8567882800,defaultgrosvenor.poker,-,grosvenor.poker,0,€1.00,€0.00,0
24,TowelieRBK,8567877627,no_affiliate_cz,-,bifortuna.cz,0,€1.00,€0.00,0
25,Andy333,8567859957,defaultbetfredew5,-,betfredew5,0,€1.00,€0.00,0
26,andrew1961sky,8567854063,defaultskypoker.com,-,skypoker.com,0,€1.00,€0.00,0
27,4steph4,8567868057,defaultgrosvenor.poker,-,grosvenor.poker,0,€1.00,€0.00,0
28,CHARLLIE7310,8567873677,no_affiliate_cz,-,bifortuna.cz,0,€1.00,€0.00,0
29,queenvalley938,8567844184,default9t,-,nordicbet.se,0,€1.00,€0.00,0
1,ryaldo,8567790986,who_migrated,-,whpoker,3252000,€1.00,€0.00,0
1,BestForever1,8567778399,defaultvx,-,redstar,2190000,€1.00,€0.00,0
1,ujkavojtech,8567774779,PPC_SPB_Brand_Google,-,bifortuna.cz,5462000,€1.00,€0.00,0
1,AntAlex2328,8567772496,defaultinbet.bg,-,inbet.bg,10130000,€1.00,€0.00,0
1,Roadkills70,8567795022,defaultgrosvenor.poker,-,grosvenor.poker,6736000,€1.00,€0.00,0
1,Deflon1,8567702183,default8v,-,coolbet.ee,6094400,€1.00,€0.00,0
1,Tayler888,8567739494,default8t,-,coolbet,7135600,€1.00,€0.00,0
8,SISU76,8567741276,defaultnr,-,netbetro,0,€1.00,€0.00,0
9,DAVEAAKKQQ,8567720347,defaultgrosvenor.poker,-,grosvenor.poker,0,€1.00,€0.00,0
10,RealBasil79,8567795018,defaultfm,-,swisscasino.ch,0,€1.00,€0.00,0
11,Humble,8567792036,default97,-,paf.com,0,€1.00,€0.00,0
12,Ste3ao,8567648304,Google,-,bifortuna.cz,0,€1.00,€0.00,0
13,finda1804,8567756900,Google,-,bifortuna.cz,0,€1.00,€0.00,0
