nickname,points,reward
IbetUwill,5.02,-
CampioneDiLugano,0,-
Ravensir,0,-
Bujatuga,0,-
clowncastle141,0,-
xax20008,0,-
DerSchreiber,0,-
wallgreedy242,0,-
Talentedbeach45,0,-
bossman244,0,-
Pdevil666,0,-
Energeticteal68,0,-
Fadimario55,0,-
RNT1020,0,-
Roeteli,0,-
mastersleepy72,0,-
Zjari,0,-
bugquiet462,0,-
saturnround457,0,-
MandyCandy,0,-
streetrapid775,0,-
ThuySi86,0,-
waterboys1226,0,-
bubi420,0,-
Keesila,0,-
leloup20,0,-
Gega10,0,-
giacomo333,0,-
Decisiveglobe51,0,-
Tibi810812,0,-
Lelushku10,0,-
Silver2020,0,-
toiletflush,0,-
whalered45,0,-
badgercold851,0,-
wallhuge561,0,-
mishmashflash,0,-
rol3x,0,-
Naide,0,-
Hezdar,0,-
Lenti94,0,-
Akille89,0,-
babayyoga,0,-
skulls22,0,-
Logicaltrue288,0,-
dano14,0,-
tbruce,0,-
Makotoswiss,0,-
Violapark,0,-
acesoft756,0,-
DaDa2908,0,-
Alfishere,0,-
sam0uu11,0,-
mike6636,0,-
ponyfortress51,0,-
Neverbluff1981,0,-
zdgpKr,0,-
