"Type ID","Player code","Username","Nickname","Cardroom","ClientPlatform","Tournament code","Tournament name","Tournament registration code","Game ID","Time of disconnection","Last game ID","Last Hand of disconnection","Start time of tournament","First hand disconnection rate (all servers)","Last hand disconnection rate (all servers)","Total value","Total Hands","Hands DC","Last hand start","Player leaving game","Chips lost in sitout","Position"
"SNG","1912647","48525988","Frankj001","fanduelpoker.uspa","Platform WEB - mobile","47225312","Spin & Go $1 SNG","280133702","2510950659","2026-04-07 05:13:11","2510950660","2026-04-07 05:13:15","2026-04-07 04:59:27","7.273","7.273","1","37","4","2026-04-07 05:14:03","","60","2"
"SNG","1937436","44863198","44863198","fanduelpoker.usmi","Platform WEB - mobile","47225377","Spin & Go $5 SNG","280133845","2510947445","2026-04-07 05:03:30","2510947445","2026-04-07 05:03:30","2026-04-07 05:02:40","6.912","6.912","5","25","1","2026-04-07 05:12:42","","60","1"
"SNG","1941512","13634709","BirdDog24","fanduelpoker.usmi","Platform WEB - mobile","47225785","Spin & Go $20 SNG","280135532","2510956468","2026-04-07 05:36:53","2510956520","2026-04-07 05:40:01","2026-04-07 05:36:16","8.041","6.765","20","12","9","2026-04-07 05:40:05","","105","2"
"SNG","1926527","4437824","Brellz","fanduelpoker.uspa","Platform QT - windows desktop","47225839","Spin & Go $20 SNG","280135635","2510957460","2026-04-07 05:41:44","2510957471","2026-04-07 05:42:08","2026-04-07 05:38:08","6.554","7.611","20","32","5","2026-04-07 05:45:05","","105","2"
"SNG","1936977","29827399","Kevo67","fanduelpoker.usmi","Platform WEB - mobile","47225831","Spin & Go $1 SNG","280135685","2510956587","2026-04-07 05:43:06","2510957940","2026-04-07 05:44:10","2026-04-07 05:39:36","7.906","4.783","1","13","2","2026-04-07 05:45:26","","0","2"
"SNG","1941512","13634709","BirdDog24","fanduelpoker.usmi","Platform WEB - mobile","47225980","Spin & Go $5 SNG","280136004","2510959074","2026-04-07 05:53:30","2510959074","2026-04-07 05:53:30","2026-04-07 05:47:18","3.645","3.645","5","19","0","2026-04-07 05:55:26","","120","2"
"SNG","1925405","35886576","Bertimus","fanduelpoker.uspa","Platform WEB - mobile","47225391","Spin & Go $5 SNG","280133891","2510950124","2026-04-07 05:11:18","2510950124","2026-04-07 05:11:18","2026-04-07 05:03:18","6.126","6.126","5","16","1","2026-04-07 05:11:38","","30","2"
"SNG","1941824","43416739","Ry13C","fanduelpoker.usmi","Platform WEB - mobile","47225397","Spin & Go $1 SNG","280133903","2510948560","2026-04-07 05:05:35","2510950960","2026-04-07 05:13:37","2026-04-07 05:05:20","6.729","7.273","1","18","17","2026-04-07 05:13:40","2026-04-07 05:05:35","485","2"
"MTT","1920685","48620977","SkyPager","fanduelpoker.uspa","Platform QT - windows desktop","47075402","PLO Turbo","280132884","2510943852","2026-04-07 05:01:50","2510943852","2026-04-07 05:01:50","2026-04-07 04:15:01","5.882","5.882","10","29","1","2026-04-07 05:21:36","","50","12"
"SNG","1935324","16964296","bandoughmoney","fanduelpoker.usmi","Platform WEB - mobile","47225691","Spin & Go $5 SNG","280134945","2510954174","2026-04-07 05:26:45","2510954226","2026-04-07 05:28:35","2026-04-07 05:23:36","8.24","5.618","5","13","7","2026-04-07 05:29:39","","95","3"
"MTT","1930774","7341818","DLew","fanduelpoker.usmi","Platform WEB - mobile","47200278","Moonlight Express 2nd Chance","280133323","2510944675","2026-04-07 05:01:39","2510944710","2026-04-07 05:03:45","2026-04-07 04:45:01","5.882","6.912","20","35","3","2026-04-07 05:35:23","","150","75"
